user_id,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,resp_time,sympathetic
u25,3,4,5,1,2,2,3,2,3,1365458857,1
u25,1,3,3,1,4,2,5,3,1,1365645280,3
u25,1,5,4,1,4,1,1,3,5,1366315249,1
u33,1,4,2,1,4,2,2,2,4,1365454823,4
u33,1,4,3,1,3,2,3,4,3,1365403429,3
u33,2,4,2,2,3,1,5,4,1,1365469910,3
u33,1,5,5,1,3,3,1,4,5,1365537976,4
u33,3,4,4,4,5,1,3,2,2,1365636219,3
u33,1,5,1,1,3,1,5,5,1,1365747052,3
u33,1,4,3,1,4,1,1,2,5,1365726868,4
u33,1,4,1,3,4,2,5,4,2,1365736222,3
u33,4,4,2,1,5,3,1,4,5,1366230495,3
u33,1,5,2,1,4,2,1,4,5,1366316208,4
u33,2,4,1,1,1,4,4,5,2,1366625924,4
u33,4,5,2,1,2,4,4,5,3,1367306486,4
u33,3,5,4,1,3,4,3,4,5,1368483898,5
u33,3,4,2,2,4,2,5,3,2,1368323849,4
u33,2,5,5,1,1,5,1,1,5,1368582636,3
u33,4,4,3,1,2,4,1,2,5,1369880475,3
u44,1,4,4,1,1,3,2,4,4,1365453719,3
u44,1,4,4,1,1,5,4,2,2,1365470085,3
u44,4,3,4,2,3,3,2,2,4,1365546643,1
u44,4,3,5,1,1,4,2,1,3,1365553951,1
u44,2,4,4,2,2,4,2,2,4,1365580352,2
u44,4,4,4,2,3,3,2,3,4,1365647662,3
u44,2,4,4,3,4,2,3,4,4,1366239110,3
u44,2,5,3,2,4,2,3,5,5,1366327375,3
u44,3,4,4,2,2,4,3,2,4,1365726079,2
u44,4,3,4,2,3,3,3,2,4,1365802604,2
u44,2,3,4,2,2,2,2,2,4,1366148403,4
u44,2,4,3,2,3,2,5,3,2,1366080667,4
u44,2,4,3,2,4,2,3,4,4,1366310381,2
u44,2,4,4,2,2,2,4,4,4,1366318369,3
u44,1,4,5,1,1,4,3,4,4,1366405883,3
u44,2,4,4,2,2,4,2,4,4,1367265424,4
u44,3,2,4,4,2,3,2,3,4,1366480628,1
u44,1,3,3,2,2,4,4,4,1,1366425309,4
u44,1,5,5,1,1,4,1,1,5,1366436581,4
u44,3,4,4,2,4,2,2,4,5,1367204145,2
u44,2,5,3,2,4,2,3,3,5,1366572071,4
u44,2,4,4,2,3,3,3,2,4,1366578155,2
u44,4,3,4,2,3,4,2,3,4,1366607641,3
u44,5,1,3,5,3,3,3,3,1,1366698220,1
u44,3,4,4,2,3,3,3,4,4,1366849690,2
u44,2,4,3,2,4,2,3,4,5,1366858189,3
u44,4,2,5,2,2,5,2,1,4,1366761032,1
u44,3,4,4,2,4,2,2,4,4,1367256381,3
u44,4,2,4,3,1,4,2,2,4,1366750183,1
u44,2,4,3,2,4,2,2,4,4,1367039323,2
u44,2,4,4,2,2,2,4,2,3,1366930985,3
u44,2,4,4,2,2,3,2,2,4,1366920180,3
u44,3,2,2,2,4,3,2,3,4,1367109006,null
u44,2,4,4,2,2,3,3,2,4,1367096111,4
u44,2,4,4,2,2,4,2,2,4,1367209825,3
u44,2,3,4,2,3,2,2,2,3,1367359781,4
u44,4,2,null,4,4,3,2,3,3,1367309769,1
u44,2,4,4,2,2,2,2,2,5,1367375755,3
u44,2,4,4,2,2,4,2,2,4,1367462816,3
u44,2,4,null,2,2,4,2,2,4,1367528496,4
